X,avg_log2FC,pct.1,pct.2,p_val_adj
Sp3,0.521230496,0.175,0.33,7.34E-18
Sp3os,1.121561256,0.059,0.087,1
Sp4,-0.153585613,0.139,0.363,2.08E-51
Sp5,0,0,0,1
Sp6,-1.979914429,0.001,0.005,1
Sp7,-1.265901263,0,0.001,1
Sp8,5.083916342,0.002,0,1
Sp9,1.004531509,0.017,0.024,1
Spa17,0.745176271,0.011,0.023,1
Spaar,-0.171271272,0.001,0.003,1
Spaca1,-1.438095502,0,0.002,1
Spaca3,-2.047588366,0.001,0.01,1
Spaca4,0,0,0,1
Spaca5,-1.097001945,0,0.001,1
Spaca6,0.41188318,0.163,0.324,4.88E-21
Spaca7,0.167185372,0.001,0.002,1
Spaca9,-0.2259605,0.005,0.017,0.892003077
Spag1,-0.339839202,0.064,0.2,1.92E-35
Spag11a,0,0,0,1
Spag11b,0,0,0,1
Spag16,4.329559206,0.058,0.015,8.85E-17
Spag17,0.237894968,0.024,0.059,2.62E-05
Spag17os,0,0,0,1
Spag4,0.806816987,0.022,0.042,1
Spag5,1.774298783,0.005,0.003,1
Spag6,-3.91859737,0.002,0.081,1.65E-35
Spag6l,1.725691063,0.107,0.086,1
Spag7,1.317726602,0.025,0.025,1
Spag8,0.50413023,0.002,0.003,1
Spag9,0.438673273,0.663,0.869,0.077506476
Spam1,0,0,0,1
Sparc,3.709664804,0.01,0.002,0.542923483
Sparcl1,-0.348299714,0.132,0.381,6.81E-66
Spast,1.55217222,0.374,0.405,3.83E-06
Spata1,0.655427662,0.111,0.196,4.40E-08
Spata13,1.689739634,0.012,0.008,1
Spata16,-2.53253826,0.025,0.228,8.31E-91
Spata17,-2.436161863,0.005,0.085,6.28E-34
Spata18,0,0,0,1
Spata19,-2.084016864,0,0.002,1
Spata2,-0.925907033,0.042,0.209,1.08E-59
Spata20,0,0,0,1
Spata21,0.470422761,0.006,0.007,1
Spata22,0,0,0,1
Spata24,1.195500115,0.034,0.05,1
Spata25,-0.488488496,0,0.002,1
Spata2l,-1.506070665,0.008,0.076,4.75E-26
Spata3,-0.289530867,0,0.001,1
Spata31,0,0,0,1
Spata31d1a,1.247632211,0.007,0.007,1
Spata31d1b,0,0,0,1
Spata31d1c,0,0,0,1
Spata31d1d,-1.535336364,0,0.001,1
Spata32,-1.486063565,0.006,0.044,1.51E-12
Spata33,-0.340810513,0.024,0.076,5.59E-12
Spata4,-0.626691615,0.005,0.029,1.41E-06
Spata45,-4.54615147,0.001,0.058,1.69E-24
Spata46,-2.077258903,0.002,0.026,6.95E-08
Spata48,-1.980884118,0.005,0.063,4.62E-22
Spata5,0.250941043,0.259,0.512,1.25E-29
Spata5l1,1.218054603,0.002,0.003,1
Spata6,-2.624466293,0.004,0.088,1.27E-37
Spata7,-0.670152953,0.277,0.722,4.82E-137
Spata9,-1.25810863,0.007,0.054,1.81E-16
Spatc1,-1.488326761,0,0.002,1
Spatc1l,-1.11425223,0,0.001,1
Spats1,-0.738945801,0.02,0.076,3.32E-15
Spats2,0.722393172,0.276,0.449,3.62E-06
Spats2l,2.675183271,0.083,0.035,3.14E-12
Spc24,1.680641299,0.008,0.008,1
Spc25,3.099709841,0.01,0.004,1
Spcs1,1.966886945,0.094,0.082,1
Spcs2,1.457659097,0.163,0.212,1
Spcs3,-0.289597732,0.047,0.155,3.59E-29
Spdef,0.37085588,0.005,0.011,1
Spdl1,-0.79653373,0.002,0.01,1
Spdya,-1.001263847,0.023,0.127,1.62E-36
Spdye4a,-0.893709453,0,0.001,1
Spdye4b,0,0,0,1
Spdye4c,0,0,0,1
Specc1,-4.076396415,0.051,0.837,0
Specc1l,0.111097155,0.209,0.466,1.64E-44
Speer1,0,0,0,1
Speer2,0,0,0,1
Speer3,0,0,0,1
Speer4a,0,0,0,1
Speer4b,-0.906259726,0.009,0.036,2.68E-06
Speer4c,0,0,0,1
Speer4cos,0,0,0,1
Speer4d,0,0,0,1
Speer4e,0,0,0,1
Speer4f1,0,0,0,1
Speer4f2,0,0,0,1
Speer9-ps1,0,0,0,1
Spef1,1.363326708,0.024,0.025,1
Spef2,-1.374197325,0.004,0.026,7.92E-06
Speg,-1.087435015,0.095,0.465,2.61E-153
Spem1,0,0,0,1
Spem2,0,0,0,1
Spen,0.661131599,0.189,0.335,4.37E-12
Spert,0,0,0,1
Spertl,0,0,0,1
Spesp1,0,0,0,1
Spg11,0.473102973,0.094,0.192,3.10E-14
Spg20,0.052520805,0.029,0.088,3.06E-13
Spg21,1.452073836,0.049,0.053,1
Spg7,-0.084565647,0.162,0.402,1.51E-51
Sphk1,-2.183565785,0,0.003,1
Sphk2,0.237759323,0.011,0.041,2.73E-06
Sphkap,-1.513781931,0.142,0.729,0
Spi1,1.69911221,0,0.001,1
Spib,0,0,0,1
Spic,0,0,0,1
Spice1,-0.553724836,0.043,0.157,5.56E-33
Spidr,1.71798224,0.048,0.042,1
Spin1,0.795151391,0.206,0.319,0.001156794
Spin2c,2.433963779,0.007,0.004,1
Spin2d,0,0,0,1
Spin2e,0,0,0,1
Spin4,0.209922173,0,0.001,1
Spindoc,0.579293248,0.203,0.348,4.39E-11
Spink1,-0.993693113,0,0.001,1
Spink10,-0.810481862,0.238,0.656,5.04E-136
Spink11,0,0,0,1
Spink12,0,0,0,1
Spink13,-2.046840359,0.048,0.397,5.62E-171
Spink14,0,0,0,1
Spink2,0,0,0,1
Spink4,0.487044075,0,0.001,1
Spink5,0,0,0,1
Spink6,0,0,0,1
Spink7,-3.770948084,0,0.009,0.116773271
Spink8,-1.993950723,0.007,0.048,1.27E-13
Spinkl,-1.510981964,0,0.001,1
Spint1,0,0,0,1
Spint2,0.194230224,0.019,0.048,0.000547128
Spint3,0,0,0,1
Spint4,0,0,0,1
Spint5,0,0,0,1
Spire1,-0.150480566,0.363,0.719,4.87E-52
Spire2,1.879549119,0.166,0.135,0.014791386
Spn,0,0,0,1
Spns1,0.636998865,0.082,0.13,0.027867514
Spns2,-0.630972084,0.048,0.195,1.66E-47
Spns3,-4.514289519,0,0.015,0.000271523
Spo11,-0.600823346,0,0.001,1
Spocd1,-2.455420515,0.002,0.02,0.000145097
Spock1,1.241134714,0.768,0.846,3.97E-124
Spock2,-0.259742003,0.191,0.505,7.27E-77
Spock3,-0.535238261,0.058,0.204,7.99E-44
Spon1,0.757221929,0.176,0.372,1.48E-27
Spon2,2.288001606,0.003,0.002,1
Spop,0.33434492,0.331,0.587,9.83E-18
Spopl,0.435409844,0.186,0.346,3.06E-17
Spout1,0.639115773,0.038,0.081,2.63E-05
Spp1,2.474514482,0.001,0.001,1
Spp2,0,0,0,1
Sppl2a,0.548465763,0.221,0.398,1.74E-15
Sppl2b,-0.166520773,0.054,0.174,6.53E-32
Sppl2c,0,0,0,1
Sppl3,0.928201274,0.365,0.501,1
Spr,0.992350189,0.024,0.033,1
Spred1,-1.378421833,0.279,0.831,1.62E-270
Spred2,-1.163065725,0.356,0.884,1.84E-242
Spred3,0.273117132,0.059,0.135,1.53E-13
Sprn,-1.351616736,0.008,0.059,2.02E-17
Sprr1a,0,0,0,1
Sprr1b,0,0,0,1
Sprr2a1,0,0,0,1
Sprr2a2,0,0,0,1
Sprr2a3,0,0,0,1
Sprr2b,0,0,0,1
Sprr2d,0,0,0,1
Sprr2e,0,0,0,1
Sprr2f,0,0,0,1
Sprr2h,0,0,0,1
Sprr2i,0,0,0,1
Sprr2j-ps,0,0,0,1
Sprr2k,0,0,0,1
Sprr3,0,0,0,1
Sprr4,0,0,0,1
Sprtn,0.501225893,0.025,0.058,0.000125647
Spry1,0.368005838,0.002,0.005,1
Spry2,-1.596336681,0.058,0.391,9.65E-152
Spry3,-1.700309532,0.001,0.007,1
Spry4,-1.291121795,0.003,0.023,5.05E-05
Spryd3,0.641055436,0.06,0.114,9.87E-06
Spryd4,0.602100899,0.005,0.01,1
Spryd7,0.117190749,0.046,0.119,5.37E-15
Spsb1,1.130909802,0.025,0.036,1
Spsb2,0.321674149,0.001,0.004,1
Spsb3,0.7651069,0.028,0.055,0.040631627
Spsb4,6.849213272,0.052,0.001,5.69E-39
Spta1,0,0,0,1
Sptan1,-0.369938424,0.495,0.869,1.59E-68
Sptb,-1.892827979,0.024,0.252,1.16E-104
Sptbn1,0.336441352,0.668,0.883,1
Sptbn2,-0.612578163,0.21,0.607,3.78E-119
Sptbn4,-0.370090596,0.312,0.698,1.28E-79
Sptbn5,-0.57565254,0,0.004,1
Sptlc1,0.383642391,0.163,0.323,4.33E-21
Sptlc2,0.989265912,0.267,0.354,1
Sptlc3,-0.593005324,0.002,0.013,0.939677576
Sptssa,0.091911019,0.047,0.146,1.66E-24
Sptssb,-4.840586574,0,0.066,7.58E-30
Spty2d1,0.307308756,0.02,0.043,0.076388157
Spx,-0.008007701,0.023,0.069,1.25E-09
Spz1,0,0,0,1
Sqle,1.510978335,0.174,0.188,1
Sqor,-0.342705993,0,0.001,1
Sqstm1,0.146319663,0.111,0.269,1.53E-31
Sra1,0.499663885,0.052,0.103,4.77E-06
Srarp,-2.086431883,0,0.002,1
Srbd1,0.890834207,0.195,0.295,0.009284803
Src,1.214860751,0.137,0.175,1
Srcap,0.482894115,0.315,0.529,2.31E-10
Srcin1,-0.500235151,0.302,0.709,1.02E-99
Srd5a1,-1.762343679,0.015,0.133,2.16E-47
Srd5a2,0.353194224,0.001,0.003,1
Srd5a3,-0.592390976,0.011,0.043,2.31E-07
Srebf1,0.646599512,0.015,0.025,1
Srebf2,0.39686481,0.262,0.491,2.81E-23
Srek1,0.224878644,0.489,0.778,7.86E-08
Srek1ip1,-0.41092018,0.076,0.236,2.10E-43
Srf,-0.726292511,0.007,0.033,4.03E-06
Srfbp1,0.156172342,0.079,0.182,8.71E-19
Srgap1,5.572970615,0.711,0.114,0
Srgap2,0.732450052,0.654,0.828,2.96E-22
Srgap3,0.292772383,0.567,0.819,1
Srgn,3.26791851,0.001,0,1
Sri,1.711205989,0.098,0.104,1
Srl,0.36896167,0.118,0.24,1.65E-17
Srm,1.807244764,0.04,0.041,1
Srms,-0.616191272,0,0.002,1
Srp14,0.848363716,0.116,0.203,2.08E-07
Srp19,0.604011889,0.074,0.153,2.47E-11
Srp54a,0.579552471,0.051,0.102,6.06E-06
Srp54b,-0.72512321,0.002,0.009,1
Srp54c,0.882213202,0.042,0.062,1
Srp68,0.650583489,0.075,0.126,0.001763017
Srp72,0.097781294,0.12,0.277,7.16E-30
Srp9,0.449174793,0.082,0.181,2.38E-16
Srpk1,0.135991148,0.207,0.439,1.77E-37
Srpk2,-0.51730035,0.581,0.937,2.30E-98
Srpk3,-0.047018943,0.003,0.009,1
Srpr,0.364318182,0.192,0.394,6.04E-28
Srprb,1.104857055,0.061,0.086,1
Srpx,1.817373675,0.004,0.003,1
Srpx2,-4.683266608,0,0.058,1.73E-25
Srr,0.665403158,0.293,0.492,1.46E-09
Srrd,0.384229023,0.024,0.05,0.022220399
Srrm1,0.521779423,0.36,0.591,1.86E-07
Srrm2,-0.374173889,0.562,0.906,3.67E-63
Srrm3,0.910788465,0.475,0.632,1
Srrm3os,-1.038856264,0.002,0.012,1
Srrm4,3.083852161,0.703,0.441,2.15E-301
Srrm4os,2.362803994,0.332,0.231,3.16E-38
Srrt,0.990804197,0.152,0.233,0.009438745
Srsf1,0.950464037,0.286,0.415,1
Srsf10,1.046095165,0.392,0.52,1
